id,day,temperature,light_intensity,logger
205,10,20.615,0,10
206,10,19.75777778,0,10
207,10,20.71,0,10
208,10,20.90111111,0,10
209,10,21.09111111,0,10
210,10,21.37777778,0,10
211,10,20.99611111,0,10
212,10,18.33111111,0,10
213,10,18.80611111,63,10
214,10,18.42611111,82,10
215,10,17.57,69,10
216,10,13.365,10,10
217,10,13.365,16,10
218,10,12.88277778,19,10
219,10,11.625,37,10
220,10,11.625,34,10
221,10,11.81888889,36,10
222,10,11.81888889,15,10
223,10,11.33388889,1,10
224,10,12.01277778,0,10
225,10,12.59388889,0,10
226,10,11.33388889,0,10
227,10,10.35722222,0,10
228,10,9.866111111,0,10
229,11,10.16111111,0,10
230,11,9.571111111,0,10
231,11,9.372777778,0,10
232,11,9.866111111,0,10
233,11,9.372777778,0,10
234,11,9.668888889,0,10
235,11,8.878888889,0,10
236,11,8.581111111,0,10
237,11,7.481111111,17,10
238,11,8.68,152,10
239,11,10.06277778,1728,10
240,11,11.72222222,208,10
241,11,12.69,176,10
242,11,13.46111111,136,10
243,11,14.61277778,114,10
244,11,14.61277778,49,10
245,11,15.18722222,27,10
246,11,15.37777778,15,10
247,11,15.56888889,4,10
248,11,15.66388889,0,10
249,11,15.18722222,0,10
250,11,14.61277778,0,10
251,11,15.18722222,0,10
252,11,15.18722222,0,10
253,12,15.47277778,0,10
254,12,14.80388889,0,10
255,12,14.13388889,0,10
256,12,14.51722222,0,10
257,12,14.23,0,10
258,12,13.365,0,10
259,12,12.98,0,10
260,12,13.26888889,0,10
261,12,13.17277778,31,10
262,12,13.75,160,10
263,12,15.76,4352,10
264,12,17.76,176,10
265,12,17.665,272,10
266,12,17.475,216,10
267,12,17.95,176,10
268,12,17.665,106,10
269,12,17.37888889,81,10
270,12,17.09388889,30,10
271,12,16.52277778,6,10
272,12,16.52277778,0,10
273,12,16.23722222,0,10
274,12,15.66388889,0,10
275,12,15.66388889,0,10
276,12,15.95111111,0,10
277,13,15.56888889,0,10
278,13,15.09111111,0,10
279,13,14.9,0,10
280,13,15.56888889,0,10
281,13,13.07611111,0,10
282,13,13.17277778,0,10
283,13,13.65388889,0,10
284,13,14.03777778,1,10
285,13,14.42111111,40,10
286,13,15.18722222,184,10
287,13,16.80777778,992,10
288,13,17.475,320,10
289,13,18.80611111,336,10
290,13,18.61611111,152,10
291,13,18.61611111,160,10
292,13,19.28222222,208,10
293,13,18.80611111,80,10
294,13,18.80611111,50,10
295,13,17.95,4,10
296,13,17.95,0,10
297,13,17.76,0,10
298,13,17.28388889,0,10
299,13,17.475,0,10
300,13,17.855,0,10
301,14,17.76,0,10
302,14,17.665,0,10
303,14,17.28388889,0,10
304,14,17.95,0,10
305,14,18.045,0,10
306,14,18.23611111,0,10
307,14,18.045,0,10
308,14,18.14,0,10
309,14,17.37888889,11,10
310,14,18.33111111,26,10
311,14,18.90111111,123,10
312,14,18.99611111,136,10
313,14,19.56722222,112,10
314,14,20.32888889,121,10
315,14,20.805,117,10
316,14,21.56888889,117,10
317,14,21.95111111,72,10
318,14,21.855,20,10
319,14,21.28222222,4,10
320,14,20.23388889,0,10
321,14,20.32888889,0,10
322,14,20.23388889,0,10
323,14,19.94777778,0,10
324,14,19.85277778,0,10
325,15,18.99611111,0,10
326,15,19.28222222,0,10
327,15,19.09222222,0,10
328,15,18.99611111,0,10
329,15,17.665,0,10
330,15,16.99888889,0,10
331,15,16.61777778,0,10
332,15,16.23722222,0,10
333,15,16.42722222,12,10
334,15,16.71277778,42,10
335,1,22.14222222,512,11
336,1,24.06222222,1472,11
337,1,23.48388889,768,11
338,1,23.67722222,608,11
339,1,23.77277778,47,11
340,1,20.90111111,176,11
341,1,21.76,67,11
342,1,21.37777778,0,11
343,1,19.47222222,0,11
344,1,18.71111111,0,11
345,1,17.855,0,11
346,1,17.475,0,11
347,2,17.37888889,0,11
348,2,16.71277778,0,11
349,2,16.04611111,0,11
350,2,15.56888889,0,11
351,2,14.80388889,0,11
352,2,14.23,0,11
353,2,13.75,0,11
354,2,13.365,11,11
355,2,13.17277778,62,11
356,2,13.84611111,208,11
357,2,29.55222222,18432,11
358,2,28.555,3712,11
359,2,17.09388889,384,11
360,2,17.665,368,11
361,2,28.35722222,16384,11
362,2,17.28388889,98,11
363,2,19.56722222,240,11
364,2,16.71277778,46,11
365,2,16.14111111,24,11
366,2,15.56888889,0,11
367,2,15.09111111,0,11
368,2,14.51722222,0,11
369,2,14.03777778,0,11
370,2,13.65388889,0,11
371,3,13.55777778,0,11
372,3,13.46111111,0,11
373,3,13.17277778,0,11
374,3,12.78722222,0,11
375,3,12.49722222,0,11
376,3,9.372777778,0,11
377,3,10.74777778,0,11
