id,day,soil_temp,logger
1,1,22.429,10
2,1,22.429,10
3,1,22.429,10
4,1,22.429,10
5,1,22.525,10
6,1,22.525,10
7,1,22.621,10
8,1,22.621,10
9,1,22.717,10
10,1,22.717,10
11,1,22.717,10
12,1,22.717,10
13,1,22.812,10
14,1,22.812,10
15,1,22.812,10
16,1,22.908,10
17,1,22.908,10
18,1,22.908,10
19,1,22.908,10
20,1,23.004,10
21,1,23.004,10
22,1,23.004,10
23,1,23.004,10
24,1,23.1,10
25,1,23.1,10
26,1,23.1,10
27,1,23.1,10
28,1,23.1,10
29,1,23.1,10
30,1,23.1,10
31,1,23.004,10
32,1,23.004,10
33,1,23.004,10
34,1,23.004,10
35,1,23.1,10
36,1,23.1,10
37,1,23.1,10
38,1,23.1,10
39,1,23.1,10
40,1,23.1,10
41,1,23.196,10
42,1,23.196,10
43,1,23.196,10
44,1,23.196,10
45,1,23.196,10
46,1,23.292,10
47,1,23.292,10
48,1,23.292,10
49,2,23.292,10
50,2,23.292,10
51,2,23.292,10
52,2,23.292,10
53,2,23.292,10
54,2,23.292,10
55,2,23.292,10
56,2,23.292,10
57,2,23.292,10
58,2,23.292,10
59,2,23.292,10
60,2,23.292,10
61,2,23.292,10
62,2,23.292,10
63,2,23.292,10
64,2,23.292,10
65,2,23.292,10
66,2,23.292,10
67,2,23.292,10
68,2,23.292,10
69,2,23.292,10
70,2,23.292,10
71,2,23.292,10
72,2,23.292,10
73,2,23.292,10
74,2,23.292,10
75,2,23.388,10
76,2,23.388,10
77,2,23.388,10
78,2,23.388,10
79,2,23.388,10
80,2,23.388,10
81,2,23.388,10
82,2,23.388,10
83,2,23.388,10
84,2,23.484,10
85,2,23.484,10
86,2,23.484,10
87,2,23.484,10
88,2,23.484,10
89,2,23.484,10
90,2,23.484,10
91,2,23.581,10
92,2,23.581,10
93,2,23.581,10
94,2,23.677,10
95,2,23.677,10
96,2,23.773,10
97,2,23.773,10
98,2,23.773,10
99,2,23.869,10
100,2,23.869,10
101,2,23.966,10
102,2,24.062,10
103,2,24.062,10
104,2,24.158,10
105,2,24.158,10
106,2,24.158,10
107,2,24.255,10
108,2,24.255,10
109,2,24.351,10
110,2,24.351,10
111,2,24.351,10
112,2,24.351,10
113,2,24.448,10
114,2,24.448,10
115,2,24.448,10
116,2,24.545,10
117,2,24.545,10
118,2,24.545,10
119,2,24.545,10
120,2,24.545,10
121,2,24.545,10
122,2,24.545,10
123,2,24.641,10
124,2,24.641,10
125,2,24.641,10
126,2,24.641,10
127,2,24.641,10
128,2,24.641,10
129,2,24.641,10
130,2,24.641,10
131,2,24.545,10
132,2,24.641,10
133,2,24.545,10
134,2,24.545,10
135,2,24.545,10
136,2,24.545,10
137,2,24.545,10
138,2,24.545,10
139,2,24.448,10
140,2,24.448,10
141,2,24.448,10
142,2,24.448,10
143,2,24.448,10
144,2,24.448,10
145,3,24.351,10
146,3,24.351,10
147,3,24.351,10
148,3,24.351,10
149,3,24.351,10
150,3,24.351,10
151,3,24.351,10
152,3,24.351,10
153,3,24.351,10
154,3,24.351,10
155,3,24.351,10
156,3,24.351,10
157,3,24.351,10
158,3,24.351,10
159,3,24.351,10
160,3,24.351,10
161,3,24.448,10
162,3,24.351,10
163,3,24.351,10
164,3,24.255,10
165,3,24.158,10
166,3,24.062,10
167,3,23.966,10
168,3,23.869,10
169,3,23.773,10
170,3,23.677,10
171,3,23.581,10
172,3,23.484,10
173,3,23.484,10
174,3,23.388,10
175,3,23.388,10
176,3,23.388,10
177,3,23.292,10
178,3,23.292,10
179,3,23.196,10
180,3,23.196,10
181,3,23.1,10
182,3,23.004,10
183,3,23.004,10
184,3,23.004,10
185,3,22.908,10
186,3,22.908,10
187,3,22.908,10
188,3,22.812,10
189,3,22.812,10
190,3,22.717,10
191,3,22.717,10
192,3,22.717,10
193,3,22.621,10
194,3,22.621,10
195,3,22.525,10
196,3,22.429,10
197,3,22.429,10
198,3,22.429,10
199,3,22.333,10
200,3,22.333,10
201,3,22.333,10
202,3,22.333,10
203,3,22.333,10
204,3,22.238,10
205,3,22.333,10
206,3,22.333,10
207,3,22.238,10
208,3,22.238,10
209,3,22.142,10
210,3,22.142,10
211,3,22.046,10
212,3,22.046,10
213,3,21.951,10
214,3,21.951,10
215,3,21.855,10
216,3,21.855,10
217,3,21.855,10
218,3,21.76,10
219,3,21.664,10
220,3,21.664,10
221,3,21.569,10
222,3,21.473,10
223,3,21.378,10
224,3,21.282,10
225,3,21.187,10
226,3,21.091,10
227,3,21.091,10
228,3,20.996,10
229,3,20.901,10
230,3,20.901,10
231,3,20.805,10
232,3,20.71,10
233,3,20.71,10
234,3,20.615,10
235,3,20.615,10
236,3,20.519,10
237,3,20.424,10
238,3,20.424,10
239,3,20.329,10
240,3,20.329,10
241,4,20.329,10
242,4,20.329,10
243,4,20.329,10
244,4,20.329,10
245,4,20.329,10
246,4,20.329,10
247,4,20.329,10
248,4,20.329,10
249,4,20.424,10
250,4,20.424,10
251,4,20.329,10
252,4,20.329,10
253,4,20.424,10
254,4,20.329,10
255,4,20.329,10
256,4,20.234,10
257,4,19.948,10
258,4,19.948,10
259,4,19.853,10
260,4,19.853,10
261,4,19.853,10
262,4,19.758,10
263,4,19.758,10
264,4,19.758,10
265,4,19.662,10
266,4,19.662,10
267,4,19.662,10
268,4,19.662,10
269,4,19.567,10
270,4,19.472,10
271,4,19.472,10
272,4,19.377,10
273,4,19.282,10
274,4,19.282,10
275,4,19.187,10
276,4,19.187,10
277,4,19.187,10
278,4,19.187,10
279,4,19.187,10
280,4,19.187,10
281,4,19.187,10
282,4,19.187,10
283,4,19.187,10
284,4,19.187,10
285,4,19.187,10
286,4,19.187,10
287,4,19.187,10
288,4,19.187,10
289,4,19.187,10
290,4,19.187,10
291,4,19.187,10
292,4,19.187,10
293,4,19.187,10
294,4,19.187,10
295,4,19.187,10
296,4,19.187,10
297,4,19.282,10
298,4,19.282,10
299,4,19.282,10
300,4,19.377,10
301,4,19.377,10
302,4,19.377,10
303,4,19.377,10
304,4,19.377,10
305,4,19.377,10
306,4,19.377,10
307,4,19.377,10
308,4,19.377,10
309,4,19.377,10
310,4,19.377,10
311,4,19.377,10
312,4,19.377,10
313,4,19.472,10
314,4,19.472,10
315,4,19.472,10
316,4,19.472,10
317,4,19.377,10
318,4,19.377,10
319,4,19.377,10
320,4,19.377,10
321,4,19.282,10
322,4,19.282,10
323,4,19.282,10
324,4,19.282,10
325,4,19.187,10
326,4,19.187,10
327,4,19.187,10
328,4,19.187,10
329,4,19.187,10
330,4,19.092,10
331,4,19.092,10
332,4,19.092,10
333,4,18.996,10
334,4,18.996,10
335,4,18.996,10
336,4,18.996,10
337,5,18.996,10
338,5,18.996,10
339,5,18.996,10
340,5,18.901,10
341,5,18.901,10
342,5,18.901,10
343,5,18.901,10
344,5,18.901,10
345,5,18.996,10
346,5,18.996,10
347,5,18.996,10
348,5,18.996,10
349,5,18.996,10
350,5,18.996,10
351,5,18.996,10
352,5,18.996,10
353,5,18.996,10
354,5,19.092,10
355,5,19.092,10
356,5,19.092,10
357,5,19.092,10
358,5,19.092,10
359,5,19.092,10
360,5,19.187,10
361,5,19.187,10
362,5,19.187,10
363,5,19.187,10
364,5,19.187,10
365,5,19.187,10
366,5,19.282,10
367,5,19.282,10
368,5,19.377,10
369,5,19.377,10
370,5,19.377,10
371,5,19.377,10
372,5,19.472,10
373,5,19.472,10
374,5,19.567,10
375,5,19.567,10
376,5,19.662,10
377,5,19.662,10
378,5,19.758,10
379,5,19.758,10
380,5,19.758,10
381,5,19.853,10
382,5,19.853,10
383,5,19.853,10
384,5,19.948,10
385,5,19.948,10
386,5,19.948,10
387,5,19.948,10
388,5,19.948,10
389,5,20.043,10
390,5,20.043,10
391,5,20.043,10
392,5,20.043,10
393,5,20.043,10
394,5,20.138,10
395,5,20.138,10
396,5,20.138,10
397,5,20.138,10
398,5,20.138,10
399,5,20.234,10
400,5,20.234,10
401,5,20.234,10
402,5,20.234,10
